Համակարգչային եզրույթների բառարան (Microsoft)
==========

English|Հայերեն
SINGLE()|SINGLE()
single-document interface|առանձին փաստաթղթի միջերես
single-mapped cell|կետային պատկերման վանդակ
single-threaded apartment|միաշղթա բնակարան
single-use code|միանգամյա կոդ
site mailbox|կայքի փոստարկղ
site provisioning provider|կայքերի նախապատրաստման տրամադրող
Site Reports|Կայքազեկույց
Sites app|Կայքերի գործադիր
size|չափափոխել
sizing handle|չափափոխման բռնակ
sketchpad|փորձատախտակ
skewed fraction|շեղ կոտորակ
Skype account|Skype-ի հաշիվ
Skype call|Skype-ի կանչ
Skype Click to Call|Skype-ի կանչ մեկ կտտոցով
Skype Connect|Skype Connect
Skype Credit|Skype-ի վարկ
Skype for modern Windows|Skype-ը մոդեռն Windows-ի համար
Skype Home|Skype-ի սկիզբ
Skype Manager|Skype Manager
Skype messages|Skype-ի ուղերձներ
Skype Name|Skype-ի անուն
Skype Number|Skype-ի համար
Skype partner|Skype-ի գործընկեր
Skype Premium|Skype Premium
Skype To Go number|Skype To Go համար
Skype voucher|Skype-ի հավաստագիր
Skype WiFi|Skype WiFi
SkypeKit|SkypeKit
Skype-to-Skype call|Skype-ից Skype կանչ
skyscraper|երկնաքեր
skyscraper ad|երկնաքեր գովազդ
skyscraper banner|երկնաքեր գովազդ
slab|սալ
slab consolidation|սալերի համաձուլում
slate|սալակարգիչ
SLCC|SLCC
sleep|քուն
sleep mode|քնելակերպ
slicer|շերտազտիչ
Slicers|Մասնատիչներ
slide|լուսապատկեր
slide|սահեցնել
slide|սահոց
slide gesture|սահոցի շարժմունք
Slide Library|Պատկերադարան
slide master|լուսապատկերների ձևանմուշ
Slide Show|Պատկերահանդես
Slide Show view|Պատկերահանդեսի տեսք
slide two fingers|սահեցնել երկու մատը
Slide Zoom|Լուսապատկերի դիտափոխում
slider|սահիչ
slideshow|սլայդերի ցուցադրում
slot|փորակ
small caps|փոքր գլխատառեր
smart card|խելացի քարտ
Smart Due Dates|Խելամիտ կատարման ժամկետներ
smart file|խելացի նիշք
smart list|խելացի ցուցակ
Smart Lookup|Խելացի որոնում
SmartArt|SmartArt
SmartArt graphic|SmartArt գծապատկեր
SmartArt Picture Layout|SmartArt նկարի դասավորություն
SmartScreen Application Reputation|Գործադրի վարկանիշը ըստ SmartScreen-ի
SMBIOS|SMBIOS
SMS|SMS
SMS message|SMS ուղերձ
Smudge Stick|Լղոզիչ
snap|չխկացնել
Snap|Չխկոց
snapped app|չխկացված գործադիր
snapshot|ճեպապատկեր
Snapshot Viewer|Ճեպապատկերների դիտակ
snip|կորզվածք
Snippet Gallery|Հատվածների սրահ
Snipping Tool|Եզրատման գործիք
social|ընկերային
social data|հասարակական տվյալներ
social network|ընկերային ցանց
social networking site|հասարակական ցանցի կայք
social site|հասարակական կայք
social tag|հասարակական տրոհ
social update|սոցիալական արդիացում
soft fail|թեթև խափանում
soft fault|հիշողության սխալ
soft hyphen|փափուկ տողադարձիչ
soft page fault|հիշողության էջի սխալ
soft restart|մեղմ վերամեկնարկ
software|ծրագրաշար
software bundler|ծրագրաշարի կապիչ
Software Licensing Commerce Client|Ծրագրաշարի լիցենզավորման առեւտրային սպասառու
software upgrade|ծրագրաշարի նորացում
Solution Explorer|Լուծումների հետախույզ
Solutions to Problems|Խնդիրների լուծումներ
solve order|լուծման կարգ
Someone|Ինչ-որ մեկը
Someone on Windows Live|Ինչ-որ մեկը Windows Live-ում
someone@example.com|someone@example.com
song|երգ
sort|տեսակավորել
sort code|տեսակավորման կոդ
sort order|տեսակավորման կարգ
sortable managed property|տեսակավորման կառավարող հատկություն
sorting|տեսակավորում
sound board|ձայնային քարտ
sound card|ձայնային քարտ
source|աղբյուր
source area|աղբյուրի տարածք
source data|սկզբնական տվյալներ
source file|սկզբնական նիշք
Source Manager|Աղբյուրի կառավարիչ
source subscription|սկզբնական բաժանորդագրում
South African National Clearing Code|Հարավաֆրիկյան պետական հաշվանցման կոդ
SP|SP
space|տեղ
space character|տարածության գրանշան
SPACEBAR|ԲԱՑԱՏ
Spaces|Տարածքներ
spacing character|լայնքավոր գրանշան
spam|լցոն
spammer|լցոնող
sparkline|կայծգիծ
sparse array|նոսր զանգված
spatial sound|տարածական ձայն
Speak|Խոսել
Speaker Calibration wizard|Բարձրախոսների չափաբերման մոգ
speaker fill|ձայնահագեցում
special character|հատուկ գրանշան
Special interest|Հատուկ հետաքրքրություններ
speech recognition|խոսքի ճանաչում
speech-to-text|խոսքից գրվածք
speed bump|արագության մեղմիչ
Spelling|Ուղղագրություն
Spelling pane|Ուղղագրության փեղկ
spherical projection|գնդոլորտային պրոեկցիա
SPI|ԺՊԴ
Spike|Մեխ
Spill|Վանդակահատում
spin box|պտտատուփ
split|տրոհում
split bar|տրոհման գոտի
split box|տրոհման տուփ
split button|տրոհման կոճակ
split time|տրոհման ժամանակ
sponsored site|հովանավորվող կայք
sponsorship|հովանավորություն
spoof|խաբել
Sports|Սպորտ
Sports|Մարզական
Sports & activities|Սպորտ և ակտիվ հանգիստ
Sports & recreation|Սպորտ և հանգիստ
Sports Scoreboard|Մարզական ցուցատախտակ
Spot Corruption Handling|Վնասվածքի տեղային շտկում
Spot Fixer|Տեղային շտկիչ
Spot Verifier|Տեղային ստուգիչ
spotlight|լուսարձակ
Spotlight|Ուշադրության կենտրոնում
SPP Notification Service|SPP ծանուցման ծառայություն
spread|վերածածկ
spreadsheet|աղյուսակաթերթ
Spreadsheet Component|Տարածաթերթի բաղադրիչ
Spreadsheet Management|Աղյուսակաթերթի կառավարում
spreadsheet program|աղյուսակաթերթային ծրագիր
SpyNet|SpyNet
SpyNet Community Rating|SpyNet համայնքի արժենիշ
SQL|SQL
SQL view|SQL տեսք
SSD|SSD
SSID|SSID
SSIS|SSIS
SSO|minimum installation
SSO|SSO
STA|STA
stabilization|կայունացում
stack|շեղջել
stacked|դարսած
stacked|շեղջված
stacked bar chart|Շեղջաձեւ գոտի
stacked column chart|Շեղջաձեւ սյունակ
stacked fraction|ուղղաձիգ կոտորակ
Stacked List|Շեղջված ցուցակ
Stacked Venn|Շեղջված վրածածք
Staff picks|Անձնակազմի ընտրանի
stage|փուլ
stage view|փուլի տեսք
Staggered Process|Աստիճանայաին ընթացք
standard account|ստանդարտ հաշիվ
standard deviation|ստանդարտ շեղում
standard font|ստանդարտ տառատեսակ
standard keyboard|ստանդարտ ստեղնաշար
Standard toolbar|հիմնօրինակ գործիքագոտի
standby|նիրհ
star|աստղ
star rating|աստղերով վարկանշում
starred|աստղանշված
start|մեկնարկել
Start|Մեկնարկ
Start button|Մեկնարկ կոճակ
Start charm|Մեկնարկ հրաշք կոճակ
start date|մեկնարկի ամսաթիվ
Start menu|«Մեկնարկ» ցանկ
Start screen|Մեկնարկային էկրան
Start screen|«Մեկնարկ» էկրան
start tag|բացող պիտակ
Starter Diagram|Մեկնարկման գծապատկեր
startup|մեկնարկում
state|վիճակ
State/Region|Երկիր/Մարզ
statement|դրույթ
static|հաստատուն
status|վիճակ
status area|վիճակի տարածք
status bar|վիճակագոտի
status date|վիճակի ամսաթիվ
status report|վիճակի զեկույց
STEM|ճշգրիտ գիտություններ
stencil|ձևանմուշ
step-by-step directions|քայլ առ քայլ ցուցումներ
Stickers|Կպչուկներ
sticky note|կպչուն թուղթ
Sticky Notes|Կպչուն թղթեր
stock chart|տվյալների տատանման գծապատկեր
stop|կանգ
stop responding|չի պատասխանում
Storage|Պահեստ
storage allocation|Հիշողության հատկացում
storage layout|պահեստի դասավորություն
storage limit|պահեստի սահմանաչափ
storage plan|պահեստի փաթեթ
storage pool|պահեստների փունջ
storage provider|պահեստի տրամադրող
storage space|պահեստի տարածք
storage tier|պահեստի մակարդակ
store|պահեստավորել
stored procedure|պահեստավորված ընթացակարգ
story|շարադրանք
story|պատմություն
storyboard|կտրագոտի
storyline|սյուժե
straight connector|ուղիղ կապակցիչ
straight quotation mark|ուղիղ չակերտ
Strategy|Ռազմավարություն
Strategy & simulation|Ռազմավարություն և նմանակում
stream|հոսարկել
stream|հոսք
stream-based conversion|ուղղորդված փոխարկում
streamline|պարզեցնել
Streetside|Streetside
Stretch|Ձգում
stretch|տարածում
stretch|տարածել
stretch gesture|տարածման շարժմունք
strikethrough|վրագծում
string|տող
strong character|շեշտված գրանշան
structural editing|կառուցվածքային խմբագրում
Structure|Կառուցվածք
Structured Query Language|Կանոնարկված հարցումների լեզու
structured reference|կառուցվածքային հղում
Structured References|Ստորակարգված հղումներ
student|ուսանող
Study aids|Պարապմունքների օգնություն
style|ոճ
Style & fashion|Ոճ և նորաձեւություն
style area|ոճի տարածք
Style gallery|Ոճերի սրահ
style inspector|ոճի տեսուչ
style sheet|ոճաթերթ
Styles|Ոճեր
stylistic set|ոճային կազմ
stylus|սրբագրություն
subdatasheet|ենթաաղյուսակ
subentry|ենթագրառում
subform|ենթաձեւ
subheading|ենթագլուխ
subject line|նյութի տող
submenu|ենթացանկ
submit|հաստատել
subnotebook|ծալովի փոքր համակարգիչ
subordinate shape|ստորադաս պատկեր
sub-pixel positioning|ենթափիքսելային դիրքավորում
subreport|ենթազեկուցում
subscribe|բաժանորդագրվել
subscript|վարգիր
subscription|բաժանորդագրում
subscription file|բաժանորդագրման նիշք
subsite|ենթակայք
subtask|ենթախնդիր
subtitle|ենթագիր
subtract|հանել
Suggested|Առաջարկված
Suggested color|Առաջարկված գույն
Suggested Contacts|Առաջարկված կապորդներ
suggestion card|առաջարկի քարտ
Suite B|Suite B
Suite B algorithm|Suite B ալգորիթմ
summary|ամփոփագիր
summary data|ամփոփման տվյալներ
summary function|ամփոփման գործառույթ
summary task|բաղադրյալ առաջադրանք
Summary Zoom|Ամփոփապատկերի դիտափոխում
sunburst chart|արևի շողերի տեսքով գծապատկեր
Super Video CD|Super Video CD
superior shape|վերադասի պատկեր
superscript|վերգիր
Supervisory Review|Վերահսկիչ վերանայում
supplicant|հայցող
support|աջակցում
Support and Recovery Assistant|Աջակցման և վերականգնման օգնական
Support and Recovery Assistant for Office 365|Աջակցման և վերականգնման օգնական Office 365-ի համար
support ticket|հարցում աջակցման ծառայություն
Surface Book|Surface Book
surface chart|մակերեսային գծապատկեր
Surface Dial|Surface Dial
Surface Hub|Surface Hub
Surface Pen|Surface Գրիչ
Surface Pro 4|Surface Pro 4
Surface Studio|Surface Studio
suspend|կասեցնել
SV|ՀՏ
SVCD|SVCD
SVG|SVG
Swap Displays|Փոխանակման ցուցադրիչ
swap file|էջանիշք / փոխանակման նիշք
Sway|Sway
sway|վեբ պաստառ
sway|ստեղծել sway
SWIFT code|SWIFT կոդ
swimlane|բաշխման գոտի
swipe|սահահարվածել
swipe|սահահարված
swipe gesture|սահահարվածի շարժմունք
switch|փոխարկել
Switch Series/Category|Փոխարկել Շարքեր/Անվանակարգ
Switch User|փոխել օգտվողին
syllables|վանկեր
syllabus|ուսումնական ծրագիր
sync|համաժամել
sync|համաժամեցում
Sync Center|Համաժամեցման կենտրոն
sync error|համաժամեցման սխալ
Sync Manager|Համաժամեցման կառավարիչ
synced folder|համաժամված պանակ
synchronization|համաժամեցում
Synchronization Manager|համաժամեցման կառավարիչ
synchronize|համաժամել
synchronous conversion|համաժամված փոխարկում
syndicated content|համահավաք բովանադակություն
synonym|հոմանիշ
Synonyms|Հոմանիշներ
syntax|շարահյուսություն
syntax error|շարահյուսական սխալ
sysadmin|համավարիչ
system|համակարգ
system administrator|համակարգի վարիչ
system caret|նշորդ
system clock|համակարգային ժամացույց
system color|համակարգի գույն
system control area|համակարգի հսկման տարածք
system event|համակարգային իրադարձություն
system health agent|Համակարգի առողջության գործակալ
system info|համակարգի տեղեկություն
System Information|Համակարգի տեղեկություն
System Protection|Համակարգի պաշտպանություն
system rating|համակարգի գնահատական
System Recovery|Համակարգի վերականգնում
system time|համակարգային ժամանակը
TA|TA
tab|ներդիր
Tab|Սյունատ
tab character|սյունատի գրանշան
tab control|ներդիր կառավար
tab delimited|սյունատված
tab group|Ներդիրների խումբ
TAB key|TAB ստեղն
Tab Peek|Ներդիրների թռուցքադիտում
tab preview|ներդիրների նախատեսք
Tab Selector|Ներդիրի ընտրիչ
tab set|ներդիրների կազմ
tab stop|սյունատի կանգ
tabbed browsing|ներդիրավոր զննում
tabbed conversations|ներդիրավոր հաղորդակցում
tab-delimited|սյունատված
table|աղյուսակ
Table Hierarchy|Աղյուսակի ստորակարգ
Table List|Աղյուսակային ցուցակ
table name|աղյուսակի անուն
table of authorities|ատյանների աղյուսակ
table of contents|բովանդակություն
table of figures|պատկերների աղյուսակ
table pane|աղյուսակի փեղկ
table style|աղյուսակի ոճ
tablet|գրասալիկ
tablet mode|գրասալիկի կերպ
tablet PC|սալիկ ԱՀ
tag|պիտակ
tag|պիտակել
tag tree|սյունատի ծառ
tagged note|պիտակավորված նշում
Tags|Պիտակներ
tail|պոչ
tail-log backup|մատյանի վերջնամասի պահուստ
Take a Test|Փորձարկրվիր
take advantage|օգտվել առավելություններից
tap|հպել
tap|տոփել
tap|տոփում
Tap|Թեմատիկ որոնում
Tap and Do|Տոփիր՝ արա
Tap and Hold|Տոփիր՝ պահիր
Tap and Send|Տոփել եւ ուղարկել
tap gesture|տոփման շարժմունք
tap two fingers|տոփել երկու մատով
target|թիրախ
target diagram|նպատակային գծապատկեր
Target List|Նպատակակետի ցուցակ
task|խնդիր
task input panel|խնդրի ներածման վահանակ
task list|խնդրացուցակ
task pane|խնդրափեղկ
task pane app|խնդրափեղկի գործադիր
task pane app for Office|խնդրափեղկի գործադիր Office-ի համար
task path|խնդիրների ուղի
task request|խնդրի հայցում
Task Scheduler|Խնդիրների հերթագրիչ
Task Well|խնդիրների ամփոփագիր
taskbar|խնդրագոտի
taskbar button|խնդրագոտու կոճակ
TaskPad|Խնդրաթերթ
Tasks peek|Խնդիրների թռուցքադիտում
TB|ՏԲ
TCP|TCP
TCP/IP|TCP/IP
TDD|TDD
Teaching callout|Ուղղորդող դրսագիր
Team Planner|Թիմի ծրագրող
Team Work Center|Թիմային աշխատանքի կենտրոն
telephone device for the deaf|խուլերի հեռախոսասարք
television|հեռուստատեսություն
Tell Me|Պատմիր ինձ
template|ձեւանմուշ
tenant administrator|սպասառուի վարիչ
tenant-level external data log|սպասառուի արտաքին տվյալների մատյան
tentative|նախնական
terabyte|տերաբայթ
Terms|Պայմաններ
Terms of use|Օգտագործման պայմաններ
test file|փորձարկման նիշք
TETRAGRAM FOR DEFECTIVENESS OR DISTORTION|TETRAGRAM FOR DEFECTIVENESS OR DISTORTION
text|գրվածք
text area|գրվածքի տարածք
text attributes|գրվածքի հատկանիշներ
text bounding box|գրվածքի կապող տուփ
text box|գրվածքի տուփ
Text Cycle|Գրվածքի շրջան
text effect|գրվածքի էֆեկտ
text flow|գրվածքի հոսք
text formatting|գրվածքի ձևաչափում
text frame|գրելատեղ
text message|գրվածքային ուղերձ
text placeholder|գրվածքի տեղապահ
text prediction|գրվածքի գուշակում
text size|տառաչափ
text slot|գրվածքի փորակ
Text Spacing|Գրվածքների տարածություն
text spacing|նոսրացում
text suggestion|գրվածքի առաջարկ
text telephone|գրվածքային հեռախոս
Text to SmartArt|Գրվածքից SmartArt
text wrap|գրվածքի տեղավորում
text wrapping|գրվածքի տեղավորում
TEXTAFTER|TEXTAFTER
Text-Based Designer|Գրվածքային ձևավորող
TEXTBEFORE|TEXTBEFORE
TEXTBETWEEN|TEXTBETWEEN
text-to-speech|գրվածքից խոսք
texture|հյուսվածք
theme|ոճ
theme family|ոճերի հավաքածու
theme font|ոճի տառատեսակ
theme pack|ոճափաթեթ
theme variant|ոճի տարբերակ
Themes|Ոճեր
thesaurus|հոմանիշարան
Thesaurus pane|Հոմանիշարան փեղկ
thread|ենթաշղթա
thread|շղթա
threaded discussion|ենթաշղթայական քննարկում
three-dimensional|եռաչափ
Threshold|Շեմ
throttle|խեղդում
thumb keyboard|երկկողմ ստեղնաշար
thumbnail|մանրապատկեր
thumbnail image|մանրապատկեր
thumbnail pane|մանրապատկերի փեղկ
thumbprint|մատնատիպ
tick mark|մանրանիշ
tick mark label|մանրանիշային պիտակ
Ticker Tape|Հեռագրաժապավեն
ticket|հարցում
tick-mark label|մանրանիշային պիտակ
TID|TID
tiered storage|բազմամակարդակ պահեստ
tiering engine|մակարդակների ենթահամակարգ
tiering policy engine|մակարդակների ենթահամակարգի կանոններ
tilde|ալիք
tile|դրվագ
tile|սալիկ
Time & expenses|Ժամանակ և ծախսեր
time allowance|թույլատրելի ժամանակ
Time Broker|Ժամանակի միջնորդ
Time Event Broker|Իրադարձությունների ժամանակի միջնորդ
Time Reporter|Time Reporter
time stamp|ժամադրոշմ
time zone|ժամային գոտի
timeline|ժամանակագիծ
Timeline|Ժամագիծ
timescale|ժամանակի սանդղակ
Timesheet|Timesheet
tint|երանգ
tip|հուշակ
Title area|անվանագոտի
title bar|անվանագոտի
title case|անվանման տառաշար
title master|անվանման հիմնօրինակ
Titled Matrix|Անվանված մատրիցա
To box|Ում տուփ
TOA|ԱԱ
TOC|բովանդակություն
Today|Այսօր
Today page|Այսօրվա էջ
to-do|անելիք
To-Do|To-Do
To-Do Bar|Գործերի գոտի
to-do item|անելիք
toggle button|փոխարկման կոճակ
toggle key|փոխարկման ստեղն
token|հետքանշիչ
token|կանխավճարային քարտի կոդ
token subscription|բաժանորդագրում կանխավճարային քարտով
token-based activation|հետքանշիչային ակտիվացում
tool|գործիք
toolbar|գործիքագոտի
toolbar button|գործիքագոտու կոճակ
Tools|Գործիքներ
tooltip|գործիքահուշ
Top albums|Լավագույն ալբոմները
Top apps|Լավագույն գործադիրներ
Top artists|Լավագույն կատարողները
Top charts|Լավագույն վարկացուցակներ
Top free|Լավագույն անվճարները
Top free apps|Լավագույն անվճար գործադիրները
Top free games|Լավագույն անվճար խաղերը
Top games|Լավագույն խաղեր
Top grossing apps|Լավագույն շահութաբեր գործադիրները
Top grossing games|Լավագույն շահութաբեր խաղերը
Top movie rentals|Լավագույն վարձույթային շարժանկարները
Top music|Լավագույն երաժշտությունը
Top paid|Լավագույն վճարովիները
Top paid apps|Լավագույն վճարովի գործադիրները
Top paid games|Լավագույն վճարովի խաղերը
Top rated|Լավագույն գնահատվածները
Top rentals|Լավագույն վարձույթայինները
Top rented|Լավագույն վարձույթայինները
top result|ամենահարմար արդյունքը
top results|ամենաէական արդյունքները
Top selling|Լավագույն վաճառվողները
Top songs|Լավագույն երգերը
Top TV|Լավագույն ՀՏ
topic|նյութ
topic pane|նյութի փեղկ
top-level folder|վերին մակարդակի պանակ
top-level property grid|վերին մակարդակի հատկությունների ցանց
topology|տեղաբանություն
Top-rated movies|Լավագույն գնահատված շարժանկարները
Top-rated TV shows|Լավագույն ՀՏ հանդեսները
Top-selling movies|Լավագույն վաճառված շարժանկարները
Top-selling songs|Լավագույն վաճառվող երգերը
total row|միագումարի տող
touch|հպում
touch and hold|հպել ու պահել
touch keyboard|հպաստեղնաշար
touch pointer|Հպման ցուցիչ
touch selection handle|հպումային ընտրության բռնակ
touch training|հպման վարժեցում
touch writing|հպումային գրում
touchpad|հպահարթակ
tracer arrow|հետագծիչի սլաք
track|հետագծել
track|հետագիծ
trackback|հետագիծ
tracked change|հետագծված փոփոխություն
tracking|հետևում
Tracking Protection|Պաշտպանություն հետեւումից
trademark symbol|ապրանքանիշի նշան
transaction|գործարք
transfer|փոխանցում
transfer|փոխանցել
transfer call|փոխանցել կանչը
transition|տարանցում
transition effect|անցման էֆեկտ
transition style|անցման ոճ
Translate|Թարգմանել
Translation ScreenTip|Թարգմանության վահանի հուշակ
Translator|Թարգմանիչ
Translator for Outlook|Թարգմանիչ Outlook-ի համար
transmission|փոխանցում
Transmission Control Protocol|Փոխանցման կառավարման հաղորդակարգ
Transmission Control Protocol/Internet Protocol|Փոխանցման կառավարման հաղորդակարգ/համացանցի հաղորդակարգ
transport adapter|փոխադրման հարմարիչ
Trapezoid List|Սեղանի ցուցակ
trapping|ծորում
Travel|Ճանապարհորդություն
tree|ծառ
treemap chart|հիերարխիկ քարտեզ-գծապատկեր
trend chart|միտման գծապատկեր
Trending|Միտումներ
trendline|միտման գիծ
trendline label|միտման գծի պիտակ
trim points|սարման կետեր
Triple Data Encryption Standard|Եռակի տվյալների գաղտնագրման ստանդարտ
Triple DES|Եռակի DES
trojan downloader|տրոյանների ներբեռնիչ
trojan dropper|տրոյանների գցիչ
trojan mass mailer|տրոյանների զանգվածային առաքիչ / էլ-փոստային լցոնիչ
trojan notifier|տրոյանների ծանուցիչ
trojan proxy server|տրոյական փոխանորդ սպասարկիչ
troubleshooter|անսարքությունների շտկիչ
Troubleshooting|Անսարքությունների կարգավորում
true sound|իրական ձայն
trust|վստահություն
Trust Bar|Անվտանգության գոտի
Trust Center|Վստահության կենտրոն
Trusted Boot|Վստահելի սկզբնաբեռնում
Trusted Documents|Փաստաթղթերի վստահագրում
trusted location|վստահելի տեղադրություն
trusted publisher|վստահված հրապարակիչ
trusted publisher store|վստահված հրապարակիչների պահեստ
trusted root CA|վստահված արմատային CA
trusted root certification authority|վստահված արմատային վկայագրման լիազորող
trusted source|վստահելի աղբյուր
TRY|TRY
TS session|TS աշխատաշրջան
TTS|TTS
tunneling|վարընթաց երթուղում
turbulence force|մրրիկային ուժ
turbulence speed|մրրիկային արագություն
TV|ՀՏ
TV cam|ՀՏ խցիկ
TV genres|ՀՏ ոճեր
TV movies|ՀՏ շարժանկարներ
TV networks|ՀՏ ցանցեր
Tweet|բլբլոց
twip|twip
two-dimensional|երկչափ
two-sided test|երկկողմանի փորձարկում
two-step verification|երկքայլ ստուգում
two-tailed test|երկկողմանի փորձարկում
type|մուտքագրել
type library|տիպերի դարան
typed text|մուտք արած գրվածք
Typewriter|Գրամեքենա
UAC|UAC
UCE|UCE
UDF|UDF
ULS|ULS
unavailable|անմատչելի
unbound object|չկապված առարկա
unbound object frame|չկապված առարկայի շրջանակ
underscore|ընդգծիկ
undo|հետարկել
Unfiled Notes|Սկզբնադիր նշումներ
unflag|հեռացնել դրոշը
Unicode|Յունիկոդ
Unified Logging Service|Արձանագրումների միավորված ծառայություն
Uniform Resource Name|Միանման պաշարների անվանում
uninstall|ապատեղադրել
union query|UNION հարցում
unique identifier|եզակի նույնացուցիչ
unit|միավորներ
Universal Disk Format|Սկավառակի համընդհանուր ձեւաչափ
universal serial bus|համընդհանուր հաջորդական դող
universally unique identifier|համընդհանուր եզակի նույնացուցիչ
Unlimited|Անսահմանափակ
unlimited calls|անսահմանափակ կանչեր
unlink|ապակապել
UNN|UNN
unpair|ապազուգավորել
unpark|ապակայանել
unpin|ապամրացնել
unpin from Start|ապամրացնել Մեկնարկից
Unrated|Չգնահատվածները
Unread Changes|Չընթերցված փոփոխություններ
unseen|չդիտված
unshare|ապահամօգտագործել
un-sign|ապաստորագրել
unsolicited commercial e-mail|անցանկալի առևտրային էլ. փոստ
unstack|ապաշեղջել
unsubscribe|ապաբաժանորդագրվել
unwanted software|անցանկալի ծրագրաշար
up and running|գործող
update|արդիացնել
update|արդիացում
update group|արդիացման խումբ
update history|արդիացումների պատմություն
update list|արդիացման ցուցակ
update query|արդիացման հարցում
update ring|թարմացման շրջանակ
update rollup|կուտակային արդիացում
updated|արդիացված
up-down bars|վեր/վար գոտիներ
upgrade|նորացնել
upload|վերբեռնել
Upload Videos|Վերբեռնել տեսանյութեր
upper bound|վերին գնահատական
uppercase|մեծատառ
uppercase letter|մեծատառ
Upward Arrow|Վեր սլացող սլաք
URL|URL
URN|URN
usage|օգտագործում
usage event|օգտագործման իրադարձություն
USB|USB
USB drive|USB հիշասարք
USB flash drive|USB ֆլեշ հիշասարք
USD|USD
Use of Plain Verb Form|Պարզ բայաձևի գործածում
user|օգտվող
User Account Control|օգտվողների հաշիվների կառավարում
user locale|օգտվողի տեղույթ
user name|օգտվողի անուն
user profile|օգտվողի հատկագիր
user rights|օգտվողի իրավունքներ
user-friendly|օգտվողին հարմար
Utilities|Օժանդակ ծրագրեր
Utilities & tools|Օժանդակ ծրագրեր և գործիքներ
UUID|UUID
Vague Adjectives|Անորոշ ածականներ
validate|վավերացնել
validation|վավերացում
validation formula|վավերացման բանաձև
value|արժեք
value axis|արժեքի առանցք
variable refresh rate|փոփոխական թարմացման հաճախություն
variance|տարբերություն
VAT|ԱԱՀ
VAT ID|ՀՎՀՀ
vault|վկայակազմ
VBA Converter|VBA փոխարկիչ
vCard|vCard
Venn diagram|նպատակային գծապատկեր
venue map|տարածքի քարտեզ
verification|ստուգում
verification code|ստուգման կոդ
verify|հաստատել
version|տարբերակ
version history|տարբերակների պատմություն
Vertical|Ուղղահայաց
vertical alignment|ուղղաձիգ հավասարեցում
Vertical Arrow List|Ուղղաձիգ սլաքի ցուցակ
vertical axis|ուղղաձիգ առանցք
vertical bar|ցցանիշ
Vertical Bending Process|Ուղղաձիգ ծռման ընթացք
Vertical Block List|Ուղղաձիգ կապանի ցուցակ
Vertical Box List|Ուղղաձիգ ցուցակատուփ
Vertical Bullet List|Ուղղաձիգ պարբերակների ցուցակ
Vertical Chevron List|Ուղղաձիգ ծպեղների ցուցակ
Vertical Equation|Ուղղաձիգ հավասարում
Vertical Picture Accent List|Ուղղաձիգ նկարի շեշտման ցուցակ
Vertical Picture List|Ուղղաձիգ նկարի ցուցակ
Vertical Process|Ուղղաձիգ ընթացք
vertical ruler|ուղղաձիգ քանոն
vertical scroll bar|ուղղաձիգ ոլորագոտի
vertical scrollbar|ուղղաձիգ ոլորագոտի
Vertipaq|Vertipaq
VHLOOKUP|ՈՒՀ ՓՆՏՐՈՒՄ OR Ուղղահայաց-հորիզոնական փնտրում
Video|Տեսացույց
video call|տեսականչ
video capture device|տեսակորզիչ սարք
video card|տեսաքարտ
video chat|տեսազրույց
Video Left|Տեսանյութը՝ ձախ
video library|տեսադարան
video mail|տեսանամակ
video message|տեսաուղերձ
video messages|տեսաուղերձներ
video snapshot|տեսաճեպապատկեր
video storage|տեսապահեստ
Video Styles|Տեսաոճեր
Video Top|Տեսանյութը՝ վեր
view|տեսք
view|դիտել
view type|տեսքի տեսակ
view-only|միայն դիտում
vignette|եզրաստվերում
virtual|վիրտուալ
virtual address|վերիրական հասցե
virtual desktop|վիրտուալ սեղան
virtual disk|կարծական սկավառակ
virtual private network|վիրտուալ մասնավոր ցանց
virtual ruler|վիրտուալ քանոն
Virtual Smart Card|Կարծական խելաքարտ
virtual surround sound|կարծական ընդգրկուն ձայն
Virtualization Mode|Կարծականացման կերպ
virus|վիրուս
Virus & threat protection|Պաշտպանություն վիրուսներից և սպառնալիքներից
virus protection|պաշտպանություն վիրուսներից
virus scanner|վիրուսի սահազննիչ
virus signature|վիրուսի նկարագրություն
visibility|տեսանելիություն
visibility mode|տեսանելիության կերպ
Visio|Visio
Visual Basic|gridline
Visual Basic|Visual Basic
visual challenge|տեսողական իսկորոշում
Visual Designer|Տեսողական ձևավորող
visual interface|տեսողական միջերես
Visual Studio Tools for Applications|Visual Studio գործիքներ գործադիրների համար
Vocabulary Choice|Բառապաշարի ընտրություն
voice call|ձայնային կանչ
voice comment|ձայնային մեկնաբանություն
voice message|ձայնային ուղերձ
voice messaging|ձայնային ուղերձում
voice recognition|ձայնի ճանաչում
Voice Recorder|Խոսագրիչ
VoiceOver|Ձայնային ուղղորդում
volume|ուժգնություն
volume|հատոր
volume application|բազմակի լիցենզավորված գործադիր
volume control button|ուժգնության կառավարի կոճակ
volume license|բազմակի լիցենզիա
volume license key|բազմակի լիցենզիայի բանալի
volume license product key|բազմակի լիցենզիայի բանալի
volume snapshot device|հատորի ճեպապատկերման սարք
VPN|VPN
VRR|VRR
VSTA|VSTA
W3|W3
W9|W9
wallpaper|պաստառ
Wallpaper & lock screens|Պաստառներ և արգելափակման էկրաններ
